quantity,null_name,scenario,alt_type,level,statistic,estimate,mc_se,num_replicates,alpha,critical_value,success_rate,error_rate,mean_value,median_value,n,n_eval_source,n_solve,base_seed
empirical power,uniform_ball,power,mixture_contamination,0.02,mmd,0.13,0.015039946808416579,500,0.05,0.000342243919253,1.0,0.0,2.3867865928866298e-05,-4.45058119757924e-05,1000,5000,5000,2026
empirical power,uniform_ball,power,mixture_contamination,0.02,potential,0.092,0.012925633446759968,500,0.05,0.6061410082729104,0.468,0.0,0.4383279574654215,0.41713969895970593,1000,5000,5000,2026
empirical power,uniform_ball,power,mixture_contamination,0.02,w2,0.132,0.01513776733867977,500,0.05,0.0147685468406878,0.468,0.0,0.013809315490780086,0.01366979291816275,1000,5000,5000,2026
empirical power,uniform_ball,power,mixture_contamination,0.05,mmd,0.588,0.02201163328787757,500,0.05,0.000342243919253,1.0,0.0,0.0005319247432288934,0.00046490308071125,1000,5000,5000,2026
empirical power,uniform_ball,power,mixture_contamination,0.05,potential,0.378,0.02168483340955148,500,0.05,0.6061410082729104,0.524,0.0,0.5726173046338103,0.5511645255826425,1000,5000,5000,2026
empirical power,uniform_ball,power,mixture_contamination,0.05,w2,0.748,0.019416281827373642,500,0.05,0.0147685468406878,0.524,0.0,0.0158060697900896,0.0156247886993496,1000,5000,5000,2026
empirical power,uniform_ball,power,mixture_contamination,0.1,mmd,1.0,0.0,500,0.05,0.000342243919253,1.0,0.0,0.0025244571660770886,0.00243792772412315,1000,5000,5000,2026
empirical power,uniform_ball,power,mixture_contamination,0.1,potential,0.978,0.006559878047646925,500,0.05,0.6061410082729104,0.562,0.0,0.9461661849288757,0.9409949436031912,1000,5000,5000,2026
empirical power,uniform_ball,power,mixture_contamination,0.1,w2,1.0,0.0,500,0.05,0.0147685468406878,0.562,0.0,0.02283646049509163,0.022682834758998,1000,5000,5000,2026
empirical power,uniform_ball,power,mixture_contamination,0.15,mmd,1.0,0.0,500,0.05,0.000342243919253,1.0,0.0,0.00590653721313985,0.00582532524754685,1000,5000,5000,2026
empirical power,uniform_ball,power,mixture_contamination,0.15,potential,1.0,0.0,500,0.05,0.6061410082729104,0.502,0.0,1.3775420990854805,1.3909772310507302,1000,5000,5000,2026
empirical power,uniform_ball,power,mixture_contamination,0.15,w2,1.0,0.0,500,0.05,0.0147685468406878,0.502,0.0,0.03362713539808891,0.0335301982781787,1000,5000,5000,2026
empirical power,uniform_ball,power,mixture_contamination,0.2,mmd,1.0,0.0,500,0.05,0.000342243919253,1.0,0.0,0.010524901415601312,0.010558670538607099,1000,5000,5000,2026
empirical power,uniform_ball,power,mixture_contamination,0.2,potential,1.0,0.0,500,0.05,0.6061410082729104,0.416,0.0,1.8117571752848047,1.8165782937500383,1000,5000,5000,2026
empirical power,uniform_ball,power,mixture_contamination,0.2,w2,1.0,0.0,500,0.05,0.0147685468406878,0.416,0.0,0.04741268300842392,0.04736559806935725,1000,5000,5000,2026
empirical power,uniform_ball,power,scale,1.025,mmd,0.092,0.012925633446759968,500,0.05,0.000342243919253,1.0,0.0,5.638219514572941e-05,2.992516540578638e-05,1000,5000,5000,2026
empirical power,uniform_ball,power,scale,1.025,potential,0.052,0.00992935043192655,500,0.05,0.6061410082729104,0.44,0.0,0.41829160590736436,0.4028809655480421,1000,5000,5000,2026
