scenario,alternative,theta,replicate,seed,reject,T,centered_l1,success,status,message,nit,fun,grad_inf,critical_value,runtime_seconds,error_message
mixture_contamination,(1 - theta) mu0 + theta Law(X + 0.5 e1),0.25,58,402555,True,1.5321624811132903,0.048451231857727144,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,200,0.2830196516447648,0.0004000000000000001,0.587476198675121,7.960774660110474,
mixture_contamination,(1 - theta) mu0 + theta Law(X + 0.5 e1),0.5,58,402556,True,2.7728112900963913,0.08768399198534482,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,200,0.26241772739039015,0.00039999999999999996,0.587476198675121,7.957099437713623,
null,null,0.0,59,302085,False,0.4554554252980105,0.014402765166223866,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,200,0.2931309901142233,0.00019999999999999998,0.587476198675121,7.9624574184417725,
location_shift,Y = X + theta e1,0.1,59,402557,True,1.675740162796897,0.05299155681059551,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,200,0.28486153841531087,0.00019999999999999998,0.587476198675121,7.959038257598877,
location_shift,Y = X + theta e1,0.25,59,402558,True,2.7557291912770983,0.08714380859049442,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,200,0.2660396967395172,0.00039999999999999996,0.587476198675121,7.959891319274902,
location_shift,Y = X + theta e1,0.5,59,402559,True,5.852934994170385,0.18508605578482754,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,200,0.16994322972268072,0.00019999999999999998,0.587476198675121,8.1151762008667,
scale,Y = (1 + theta) X,0.1,59,402560,False,0.4603106041265631,0.014556299401680411,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,200,0.28996477341019583,0.0004000000000000001,0.587476198675121,7.966888189315796,
scale,Y = (1 + theta) X,0.25,59,402561,True,1.0455712096151075,0.03306386478281084,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,200,0.2744063025118323,0.0004000000000000001,0.587476198675121,7.963077068328857,
scale,Y = (1 + theta) X,0.5,59,402562,True,1.801959174308987,0.056982952414527686,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,200,0.21536798622830503,0.0004000000000000001,0.587476198675121,7.923074245452881,
mixture_contamination,(1 - theta) mu0 + theta Law(X + 0.5 e1),0.1,59,402563,False,0.463272751490908,0.014649970726044357,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,200,0.2920268850304202,0.0004000000000000001,0.587476198675121,7.958462953567505,
mixture_contamination,(1 - theta) mu0 + theta Law(X + 0.5 e1),0.25,59,402564,True,1.3606860935474485,0.04302867236126878,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,200,0.284070485840943,0.00039999999999999996,0.587476198675121,7.959502935409546,
mixture_contamination,(1 - theta) mu0 + theta Law(X + 0.5 e1),0.5,59,402565,True,3.338003386894303,0.10555693539942242,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,200,0.2508831015395681,0.00019999999999999998,0.587476198675121,8.000920295715332,
