Python executable: /burg-archive/home/ss6574/.conda/envs/ot-exp/bin/python
Python version: 3.11.15 | packaged by conda-forge | (main, Mar  5 2026, 16:45:40) [GCC 14.3.0]
otexp package: /burg-archive/home/ss6574/L1-rates-ot-potentials/src/otexp/__init__.py
Running new_d dimension d=2, task=0
[trial] d=2, n=1000, b=37/100, runtime=129.19s, success=False, nit=1000, nfev=1003
[trial] d=2, n=1000, b=38/100, runtime=92.82s, success=True, nit=716, nfev=719
[trial] d=2, n=1000, b=39/100, runtime=93.14s, success=True, nit=717, nfev=721
[trial] d=2, n=1000, b=40/100, runtime=101.62s, success=True, nit=781, nfev=784
[trial] d=2, n=1000, b=41/100, runtime=96.18s, success=True, nit=740, nfev=744
[trial] d=2, n=1000, b=42/100, runtime=94.13s, success=True, nit=725, nfev=728
[trial] d=2, n=1000, b=43/100, runtime=96.35s, success=True, nit=744, nfev=747
[trial] d=2, n=1000, b=44/100, runtime=83.02s, success=True, nit=641, nfev=644
[trial] d=2, n=1000, b=45/100, runtime=92.05s, success=True, nit=708, nfev=711
[trial] d=2, n=1000, b=46/100, runtime=83.63s, success=True, nit=638, nfev=641
[trial] d=2, n=1000, b=47/100, runtime=111.48s, success=True, nit=851, nfev=854
[trial] d=2, n=1000, b=48/100, runtime=130.22s, success=False, nit=1000, nfev=1003
[trial] d=2, n=1000, b=49/100, runtime=80.81s, success=True, nit=620, nfev=623
[trial] d=2, n=1000, b=50/100, runtime=96.65s, success=True, nit=741, nfev=745
[trial] d=2, n=1000, b=51/100, runtime=95.02s, success=True, nit=730, nfev=734
[trial] d=2, n=1000, b=52/100, runtime=106.45s, success=True, nit=821, nfev=824
[trial] d=2, n=1000, b=53/100, runtime=79.06s, success=True, nit=608, nfev=611
[trial] d=2, n=1000, b=54/100, runtime=129.27s, success=False, nit=1000, nfev=1003
[trial] d=2, n=1000, b=55/100, runtime=82.60s, success=True, nit=635, nfev=638
[trial] d=2, n=1000, b=56/100, runtime=106.91s, success=True, nit=823, nfev=828
[trial] d=2, n=1000, b=57/100, runtime=115.41s, success=True, nit=890, nfev=894
[trial] d=2, n=1000, b=58/100, runtime=113.89s, success=True, nit=877, nfev=882
[trial] d=2, n=1000, b=59/100, runtime=114.53s, success=True, nit=881, nfev=885
[trial] d=2, n=1000, b=60/100, runtime=111.75s, success=True, nit=859, nfev=862
[trial] d=2, n=1000, b=61/100, runtime=93.28s, success=True, nit=715, nfev=719
[trial] d=2, n=1000, b=62/100, runtime=83.70s, success=True, nit=641, nfev=644
[trial] d=2, n=1000, b=63/100, runtime=109.30s, success=True, nit=843, nfev=846
[trial] d=2, n=1000, b=64/100, runtime=129.36s, success=False, nit=1000, nfev=1003
[trial] d=2, n=1000, b=65/100, runtime=111.33s, success=True, nit=861, nfev=864
[trial] d=2, n=1000, b=66/100, runtime=95.30s, success=True, nit=734, nfev=738
[trial] d=2, n=1000, b=67/100, runtime=89.48s, success=True, nit=691, nfev=696
[trial] d=2, n=1000, b=68/100, runtime=128.86s, success=False, nit=1000, nfev=1003
[trial] d=2, n=1000, b=69/100, runtime=74.01s, success=True, nit=571, nfev=576
[trial] d=2, n=1000, b=70/100, runtime=130.19s, success=False, nit=1000, nfev=1003
[trial] d=2, n=1000, b=71/100, runtime=86.06s, success=True, nit=658, nfev=661
[trial] d=2, n=1000, b=72/100, runtime=104.78s, success=True, nit=803, nfev=806
[trial] d=2, n=1000, b=73/100, runtime=109.51s, success=True, nit=839, nfev=842
[trial] d=2, n=1000, b=74/100, runtime=129.93s, success=False, nit=1000, nfev=1003
[trial] d=2, n=1000, b=75/100, runtime=105.75s, success=True, nit=813, nfev=816
[trial] d=2, n=1000, b=76/100, runtime=112.98s, success=True, nit=867, nfev=870
[trial] d=2, n=1000, b=77/100, runtime=61.53s, success=True, nit=471, nfev=474
[trial] d=2, n=1000, b=78/100, runtime=96.08s, success=True, nit=736, nfev=740
[trial] d=2, n=1000, b=79/100, runtime=90.79s, success=True, nit=695, nfev=699
[trial] d=2, n=1000, b=80/100, runtime=81.22s, success=True, nit=622, nfev=626
[trial] d=2, n=1000, b=81/100, runtime=108.02s, success=True, nit=826, nfev=829
[trial] d=2, n=1000, b=82/100, runtime=102.50s, success=True, nit=781, nfev=786
[trial] d=2, n=1000, b=83/100, runtime=130.37s, success=False, nit=1000, nfev=1003
[trial] d=2, n=1000, b=84/100, runtime=66.12s, success=True, nit=505, nfev=508
[trial] d=2, n=1000, b=85/100, runtime=96.38s, success=True, nit=738, nfev=741
